ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13295:1994,Dental rotary instruments — Mandrels,95.99,"Specifies requirements, packaging and marking for mandrels suitable for holding mounted and unmounted dental discs and polishers. Mandrels may be used for dental rotary instruments of different working diameters. For mandrels with mounted discs and polishers, the specification for the tread and screw do not apply.",Withdrawn,1994-12,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13295:2007,Dentistry — Mandrels for rotary instruments,90.93,"ISO 13295:2007 specifies the requirements, the packaging and marking characteristics for mandrels suitable for discs and polishers used in dentistry.
ISO 13295:2007 uses the system of coding laid down in ISO 6360, which specifies a 15-digit number for the identification of dental rotary instruments of all types.",Published,2007-07,2,8,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:40369:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-1:1995,"Periodontal curettes, dental scalers and excavators — Part 1: General requirements",90.93,"Specifies the general material and performance requirements for periodontal curettes, dental scalers and excavators.",Published,1995-12,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:21885:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-2:1996,"Periodontal curettes, dental scalers and excavators — Part 2: Periodontal curettes — Gr-type",95.99,Gives the dimensions for Gr-type periodontal curettes.,Withdrawn,1996-08,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-2:1996/Cor 1:1997,"Periodontal curettes, dental scalers and excavators — Part 2: Periodontal curettes — Gr-type — Technical Corrigendum 1",95.99,,Withdrawn,1997-12,1,2,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-2:2005,"Dentistry — Periodontal curettes, dental scalers and excavators — Part 2: Periodontal curettes of Gr-type",90.93,ISO 13397-2:2005 specifies the designs and dimensions for Gr-type periodontal curettes.,Published,2005-06,2,5,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:34572:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-2:2005/Amd 1:2012,"Dentistry — Periodontal curettes, dental scalers and excavators — Part 2: Periodontal curettes of Gr-type — Amendment 1: Colour coding",60.60,,Published,2012-10,2,1,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:57910:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-3:1996,"Periodontal curettes, dental scalers and excavators — Part 3: Dental scalers — H-type",90.93,Gives the dimensions for H-type dental scalers.,Published,1996-09,1,6,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:21887:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-4:1997,"Periodontal curettes, dental scalers and excavators — Part 4: Dental excavators — Discoid-type",95.99,,Withdrawn,1997-12,1,5,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13397-5:2015,"Dentistry — Periodontal curettes, dental scalers and excavators — Part 5: Jacquette scalers",90.93,ISO 13397-5:2015 specifies the designs and dimensions for Jacquette scalers.,Published,2015-09,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:60874:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13402:1995,"Surgical and dental hand instruments — Determination of resistance against autoclaving, corrosion and thermal exposure",90.92,"Describes test methods to determine the resistance of stainless steel surgical and dental hand instruments against autoclaving, corrosion and thermal exposure.",Published,1995-08,1,4,ISO/TC 170 Surgical instruments,11.040.30:Surgical instruments and materials|11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:21241:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO/CD 13402,"Surgical and dental hand instruments — Determination of resistance against autoclaving, corrosion and thermal exposure",30.60,"Describes test methods to determine the resistance of stainless steel surgical and dental hand instruments against autoclaving, corrosion and thermal exposure.",Under development,,2,,ISO/TC 170 Surgical instruments,11.040.30:Surgical instruments and materials|11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15087-1:1999,Dental elevators — Part 1: General requirements,90.92,,Published,1999-11,1,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:25927:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15087-2:2000,Dental elevators — Part 2: Warwick James elevators,90.92,,Published,2000-04,1,4,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:25928:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15087-3:2000,Dental elevators — Part 3: Cryer elevators,90.92,,Published,2000-05,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:25929:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15087-4:2000,Dental elevators — Part 4: Coupland elevators,90.92,,Published,2000-05,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:25930:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15087-5:2000,Dental elevators — Part 5: Bein elevators,90.92,,Published,2000-05,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:25931:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15087-6:2000,Dental elevators — Part 6: Flohr elevators,90.92,,Published,2000-05,1,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:25932:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15098-1:1999,Dental tweezers — Part 1: General requirements,95.99,,Withdrawn,1999-10,1,7,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15098-2:2000,Dental tweezers — Part 2: Meriam types,95.99,,Withdrawn,2000-02,1,4,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15098-3:2000,Dental tweezers — Part 3: College types,95.99,,Withdrawn,2000-02,1,5,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15098:2020,Dentistry — Dental tweezers,90.92,"This document specifies general requirements and test methods for metallic dental tweezers of the Meriam type and for College type.
This document is not applicable to anatomical tweezers and surgical tweezers.",Published,2020-02,1,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:73463:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO/DIS 15098,Dentistry — Dental tweezers,40.20,"This document specifies general requirements and test methods for metallic dental tweezers of the Meriam type and for College type.
This document is not applicable to anatomical tweezers and surgical tweezers.",Under development         You can help develop this draft international standard by contacting your national member,,2,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:86357:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 15606:1999,Dental handpieces — Air-powered scalers and scaler tips,95.99,,Withdrawn,1999-12,1,9,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 16635-1:2013,Dentistry — Dental rubber dam technique — Part 1: Hole punch,90.20,ISO 16635-1:2013 specifies requirements and test methods for hole punches for dental rubber dams.,Published,2013-04,1,4,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:57334:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 16635-2:2014,Dentistry — Dental rubber dam instruments — Part 2: Clamp forceps,90.93,ISO 16635-2:2014 specifies requirements and test methods for clamp forceps intended for the application of dental rubber dam clamps to teeth.,Published,2014-09,1,4,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:57335:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 16954:2015,Dentistry — Test methods for dental unit waterline biofilm treatment,90.93,"ISO 16954:2015 provides type test methods for evaluating the effectiveness of treatment methods intended to prevent or inhibit the formation of biofilm or to remove biofilm present in dental unit procedural water delivery systems under laboratory conditions.
It does not apply to devices intended to deliver sterile procedural water or sterile solution. It also does not apply to lines, tubing, or hoses that deliver compressed air within the dental unit.
It does not establish specific upper limits for bacterial contamination or describe test methods to be used in clinical situations. It also does not establish test methods for evaluating any deleterious side effects potentially caused by treatment methods.
The test methods provided in ISO 16954:2015 can be used to test other dental equipment that delivers non-sterile water to the oral cavity.",Published,2015-07,1,14,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:58009:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 17509:2016,Dentistry — Torque transmitter for handpieces,90.93,"ISO 17509:2016 specifies requirements for torque transmitters to be used in oral implantology in conjunction with a dental handpiece as an accessory in the placement of dental implants and the further manipulation of connecting parts in the craniofacial area.
ISO 17509:2016 applies to torque transmitters used for placement and for removal in the oral cavity of the patient which are connected to power-driven systems having torque control mechanism, but does not apply to the power-driven systems themselves.
ISO 17509:2016 does not include the dental implant nor parts that would be connected to it.
With regard to safety, this International Standard gives requirements for classification, intended performance, performance attributes, material selection, performance evaluation, manufacture, reprocessing and information to be supplied by the manufacturer.",Published,2016-10,1,5,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:59926:en,,
